PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8500,23.7,2.8,15.21
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8000,19.7,2.5,12.14
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,8200,19.3,2.4,11.71
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,5700,16.4,2.9,11.35
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,6000,18.7,3.1,11.06
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,7500,19.2,2.6,10.21
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9000,23.9,2.7,10.00
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,6800,17.8,2.6,9.28
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,19.0,2.4,8.65
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,6100,17.1,2.8,8.65
Christian McCaffrey,RB,CAR,LAR,-110,50.00,1.50,24.25,8800,21.7,2.5,8.46
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,6800,22.4,3.3,8.15
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,6700,16.5,2.5,7.81
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7000,17.0,2.4,7.76
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8100,18.7,2.3,7.66
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8000,19.2,2.4,7.60
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7300,17.4,2.4,7.46
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,6400,18.7,2.9,7.09
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,5100,13.9,2.7,6.90
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,6400,20.7,3.2,6.59
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,5000,13.7,2.8,6.49
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,7200,27.5,3.8,6.37
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,6700,16.3,2.4,6.25
Matt Breida,RB,SF,@TB,-110,51.00,1.00,25.00,4000,12.1,3.0,6.22
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7300,17.0,2.3,6.20
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6000,13.2,2.2,5.98
Tyler Boyd,WR,CIN,@SEA,-110,44.00,9.50,17.25,5800,14.5,2.5,5.97
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,6900,16.0,2.3,5.89
Austin Ekeler,RB,LAC,IND,-110,44.50,-6.50,25.50,5500,16.2,2.9,5.86
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,18.1,2.4,5.68
James White,RB,NE,PIT,-110,49.00,-5.50,27.25,4800,14.4,3.0,5.62
Carson Wentz,QB,PHI,WAS,-110,45.00,-10.00,27.50,5700,20.5,3.6,5.60
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,5900,13.5,2.3,5.40
Michael Gallup,WR,DAL,NYG,-105,45.50,-7.50,26.50,4300,12.1,2.8,5.36
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,6600,24.6,3.7,5.35
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6200,14.5,2.3,5.23
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,5800,16.5,2.8,5.21
Rashaad Penny,RB,SEA,CIN,-110,44.00,-9.50,26.75,4900,10.7,2.2,5.21
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6500,15.6,2.4,5.19
Baker Mayfield,QB,CLE,TEN,-110,45.50,-5.50,25.50,6400,21.7,3.4,5.16
Devonta Freeman,RB,ATL,@MIN,-110,47.50,4.00,21.75,5300,15.9,3.0,5.11
Robert Woods,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6400,15.4,2.4,5.10
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,5900,20.5,3.5,5.05
Todd Gurley,RB,LAR,@CAR,-110,50.00,-1.50,25.75,7900,17.7,2.2,5.02
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9200,15.0,1.6,4.99
Russell Wilson,QB,SEA,CIN,-110,44.00,-9.50,26.75,6300,20.6,3.3,4.93
Alshon Jeffery,WR,PHI,WAS,-110,45.00,-10.00,27.50,5900,13.1,2.2,4.93
Dede Westbrook,WR,JAX,KC,100,51.50,3.00,24.25,4800,12.7,2.7,4.92
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,7700,19.7,2.6,4.81
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,4900,11.3,2.3,4.79
Corey Davis,WR,TEN,@CLE,-110,45.50,5.50,20.00,4900,11.9,2.4,4.61
Zach Ertz,TE,PHI,WAS,-110,45.00,-10.00,27.50,6100,15.8,2.6,4.57
