PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Chester Rogers,WR,IND,@LAC,-110,44.50,6.50,19.00,3300,3.8,1.2,0.38
Deon Yelder,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,2.5,1.0,0.38
MyCole Pruitt,TE,TEN,@CLE,-110,45.50,5.50,20.00,2500,0.9,0.3,0.38
Logan Paulsen,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,0.5,0.2,0.38
D'Ernest Johnson,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,3.6,1.2,0.36
J.J. Arcega-Whiteside,WR,PHI,WAS,-110,45.00,-10.00,27.50,3400,2.6,0.8,0.36
Corey Clement,RB,PHI,WAS,-110,45.00,-10.00,27.50,3200,2.3,0.7,0.36
Tyler Kroft,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2600,2.2,0.8,0.36
Tavon Austin,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,2.4,0.8,0.34
Kenyan Drake,RB,MIA,BAL,-110,38.50,6.50,16.00,4700,10.9,2.3,0.33
Wendell Smallwood,RB,WAS,@PHI,-110,45.00,10.00,17.50,3200,1.9,0.6,0.33
Tanner Hudson,TE,TB,SF,-110,51.00,-1.00,26.00,2500,1.2,0.5,0.33
Austin Carr,WR,NO,HOU,-105,52.50,-7.00,29.75,3000,1.8,0.6,0.32
Mike Boone,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,1.7,0.6,0.31
Darwin Thompson,RB,KC,@JAX,-120,51.50,-3.00,27.25,3000,4.2,1.4,0.30
Damien Harris,RB,NE,PIT,-110,49.00,-5.50,27.25,3300,2.9,0.9,0.30
Robert Davis,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,1.9,0.6,0.28
Jaeden Graham,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,1.4,0.6,0.28
Ben Braunecker,TE,CHI,GB,-115,46.50,-3.00,24.75,2500,1.0,0.4,0.28
Parris Campbell,WR,IND,@LAC,-110,44.50,6.50,19.00,3800,3.1,0.8,0.27
Alex Erickson,WR,CIN,@SEA,-110,44.00,9.50,17.25,3200,2.6,0.8,0.27
Dwayne Washington,RB,NO,HOU,-105,52.50,-7.00,29.75,3200,1.3,0.4,0.27
Albert Wilson,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,7.9,2.0,0.26
Zach Gentry,TE,PIT,@NE,-110,49.00,5.50,21.75,2500,0.2,0.1,0.26
Jordan Wilkins,RB,IND,@LAC,-110,44.50,6.50,19.00,3000,2.9,1.0,0.25
Wayne Gallman,RB,NYG,@DAL,-115,45.50,7.50,19.00,3000,2.7,0.9,0.25
Ricky Seals-Jones,TE,CLE,TEN,-110,45.50,-5.50,25.50,2700,0.9,0.3,0.25
Chase Edmonds,RB,ARI,DET,-105,46.50,2.50,22.00,3100,4.2,1.4,0.24
Dontrelle Inman,WR,LAC,IND,-110,44.50,-6.50,25.50,3200,2.7,0.9,0.24
