"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-54608","RB","Jerick","Jerick McKinnon","McKinnon","0","0","5700","SF@TB","SF","TB","IR","Knee - acl","","",""
"37435-14339","RB","Dion","Dion Lewis","Lewis","8.199999809265137","16","5600","TEN@CLE","TEN","CLE","","","","",""
"37435-63591","RB","Ronald","Ronald Jones II","Jones II","2.866666793823242","6","5600","SF@TB","TB","SF","","","","",""
"37435-69956","WR","Michael","Michael Gallup","Gallup","5.413333129882813","15","5600","NYG@DAL","DAL","NYG","","","","",""
"37435-28080","WR","Devin","Devin Funchess","Funchess","7.2071429661342075","14","5600","IND@LAC","IND","LAC","","","","",""
"37435-6703","RB","Adrian","Adrian Peterson","Peterson","11.1875","16","5600","WAS@PHI","WAS","PHI","","","","",""
"37435-6739","WR","DeSean","DeSean Jackson","Jackson","10.90000025431315","12","5600","WAS@PHI","PHI","WAS","","","","",""
"37435-27771","WR","Cody","Cody Latimer","Latimer","5.083333333333333","6","5500","NYG@DAL","NYG","DAL","","","","",""
"37435-40126","TE","Austin","Austin Hooper","Hooper","7.96875","16","5500","ATL@MIN","ATL","MIN","","","","",""
"37435-54606","WR","John","John Brown","Brown","7.681250095367432","16","5500","BUF@NYJ","BUF","NYJ","","","","",""
"37435-73048","WR","DK","DK Metcalf","Metcalf","0","0","5500","CIN@SEA","SEA","CIN","","","","",""
"37435-40857","RB","Peyton","Peyton Barber","Barber","8.768750190734863","16","5500","SF@TB","TB","SF","","","","",""
"37435-53303","RB","Matt","Matt Breida","Breida","10.642857142857142","14","5400","SF@TB","SF","TB","","","","",""
"37435-24755","WR","Jamison","Jamison Crowder","Crowder","7.58888922797309","9","5400","BUF@NYJ","NYJ","BUF","","","","",""
"37435-52436","TE","Mark","Mark Andrews","Andrews","5.637499809265137","16","5400","BAL@MIA","BAL","MIA","","","","",""
"37435-55689","RB","Ito","Ito Smith","Smith","6.476922842172476","13","5400","ATL@MIN","ATL","MIN","","","","",""
"37435-32243","WR","Marquise","Marquise Goodwin","Goodwin","6.900000138716265","11","5400","SF@TB","SF","TB","","","","",""
"37435-41475","WR","John","John Ross III","Ross III","5.723077040452224","13","5400","CIN@SEA","CIN","SEA","","","","",""
"37435-70157","RB","Darrell","Darrell Henderson Jr.","Henderson Jr.","0","0","5400","LAR@CAR","LAR","CAR","","","","",""
"37435-22113","RB","Alfred","Alfred Morris","Morris","5.827272588556463","11","5400","NYG@DAL","DAL","NYG","","","","",""
"37435-6863","TE","Delanie","Delanie Walker","Walker","7.199999809265137","1","5400","TEN@CLE","TEN","CLE","","","","",""
"37435-39859","TE","Jack","Jack Doyle","Doyle","7.916666666666667","6","5400","IND@LAC","IND","LAC","","","","",""
"37435-63625","RB","Nyheim","Nyheim Hines","Hines","8.087499618530273","16","5300","IND@LAC","IND","LAC","","","","",""
"37435-33260","WR","DeVante","DeVante Parker","Parker","4.44545468417081","11","5300","BAL@MIA","MIA","BAL","","","","",""
"37435-22018","WR","Mohamed","Mohamed Sanu","Sanu","9.337499618530273","16","5300","ATL@MIN","ATL","MIN","","","","",""
"37435-29249","RB","C.J.","C.J. Anderson","Anderson","7.211111280653212","9","5300","DET@ARI","DET","ARI","","","","",""
"37435-30298","TE","Jordan","Jordan Reed","Reed","7.138461773212139","13","5300","WAS@PHI","WAS","PHI","Q","Concussion","","",""
"37435-70603","RB","Devin","Devin Singletary","Singletary","0","0","5300","BUF@NYJ","BUF","NYJ","","","","",""
"37435-24671","WR","Adam","Adam Humphries","Humphries","9.418749809265137","16","5200","TEN@CLE","TEN","CLE","","","","",""
"37435-79987","WR","David","David Moore","Moore","6.285714285714286","14","5200","CIN@SEA","SEA","CIN","D","Shoulder","","",""
